fe_filename,run_status,description,statistic,FST1_Heading,FST2_Heading,WindDirection,WindSpeed,WaveDirection,Hs,WaveTz,WaveGamma,RefCurrentSpeed,RefCurrentDirection,CurrentFactor[0]
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_cl_045deg.sim,,,,180,0,45,26.7,45,1.05,2.42536,3.3,0.53,45,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_cl_090deg.sim,,,,180,0,90,26.7,90,1.3,3.179399,3.3,0.53,90,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_cl_180deg.sim,,,,180,0,180,34.6,180,1.62,3.669135,3.3,0.69,180,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_.sim,,,,180,0,0,0,0,0,7.773591,3.3,0,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_000deg.sim,,,,180,0,0,29.4,0,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_015deg.sim,,,,180,0,15,29.4,60,1.69,3.762418,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_030deg.sim,,,,180,0,30,29.4,60,1.69,3.762418,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_045deg.sim,,,,180,0,45,26.7,60,1.69,3.762418,3.3,0.53,45,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_060deg.sim,,,,180,0,60,26.7,60,1.69,3.762418,3.3,0.53,60,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_075deg.sim,,,,180,0,75,26.7,75,1.69,3.762418,3.3,0.53,75,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_090deg.sim,,,,180,0,90,26.7,75,1.69,3.762418,3.3,0.53,90,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_105deg.sim,,,,180,0,105,26.7,105,1.3,3.179399,3.3,0.53,105,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_120deg.sim,,,,180,0,120,23,120,1.3,3.179399,3.3,0.46,120,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_135deg.sim,,,,180,0,135,23,135,1.3,3.179399,3.3,0.46,135,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_150deg.sim,,,,180,0,150,23,150,1.62,3.669135,3.3,0.46,150,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_165deg.sim,,,,180,0,165,23,165,1.62,3.669135,3.3,0.46,165,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_180deg.sim,,,,180,0,180,34.6,165,1.62,3.669135,3.3,0.69,180,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_195deg.sim,,,,180,0,195,34.6,195,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_210deg.sim,,,,180,0,210,34.6,210,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_225deg.sim,,,,180,0,225,34.6,225,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_240deg.sim,,,,180,0,240,34.6,240,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_255deg.sim,,,,180,0,255,29.4,255,0.24,0.940605,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_270deg.sim,,,,180,0,270,29.4,270,0.24,0.940605,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_285deg.sim,,,,180,0,285,29.4,285,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_300deg.sim,,,,180,0,300,29.4,300,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_315deg.sim,,,,180,0,315,29.4,315,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_330deg.sim,,,,180,0,330,29.4,330,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_345deg.sim,,,,180,0,345,29.4,345,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_cl_015deg.sim,,,,180,0,15,29.4,15,1.05,2.42536,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_cl_030deg.sim,,,,180,0,30,29.4,30,1.05,2.42536,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_cl_045deg.sim,,,,180,0,45,26.7,45,1.05,2.42536,3.3,0.53,45,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_cl_090deg.sim,,,,180,0,90,26.7,90,1.3,3.179399,3.3,0.53,90,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2L_FST1L_HWL_cl_180deg.sim,,,,180,0,180,34.6,180,1.62,3.669135,3.3,0.69,180,1
,,,min,180,0,0,0,0,0,0.940605,3.3,0,45,1
,,,max,180,0,345,34.6,345,1.69,7.773591,3.3,0.69,357,1
,,,mean,180,0,150,27.976667,152,0.951,2.584978,3.3,0.444333,214.3,1
,,,stdev,0,0,107.600958,6.326414,104.707826,0.629847,1.542342,0,0.116726,116.419507,0
